"DV","IV","test","cor","cil","ciu","t","df","p"
"ReactDrv_StopSlow","VehType2_Large","Phi",0.00915502022884394,-0.039266711901388,0.0575338559005927,0.370539454475802,1638,0.711028494598669
"ReactDrv_StopSlow","VehType0_Largetruck","Phi",-0.0186794942529144,-0.0670232253446314,0.0297517377051832,-0.75613239203152,1638,0.449678550218946
"ReactDrv_StopSlow","VehType0_Trailer","Phi",0.0295434126413292,-0.0188879290236174,0.0778364356466873,1.19620942766601,1638,0.231787964838394
"ReactDrv_StopSlow","VehType0_Bus","Phi",0.00587629862281906,-0.0425401327966164,0.0542651948988521,0.23783091398238,1638,0.812041985538613
"ReactDrv_StopSlow","EncrTime","Point-Biserial",-0.225238299089449,-0.270691414806958,-0.178783152692457,-9.35631498105771,1638,2.62183251738834e-20
"ReactDrv_StopSlow","PreEncrTime","Point-Biserial",-0.0225323311766922,-0.100593328050291,0.0558043779629715,-0.56390191227771,626,0.573022844222625
"ReactDrv_StopSlow","PostEncrTime","Point-Biserial",-0.238065677963373,-0.295638039794337,-0.178770254618886,-7.75115063177476,1000,2.23258614926184e-14
"ReactDrv_StopSlow","ConflSev_Low","Phi",-0.211299323904153,-0.257074349606289,-0.164578266532891,-8.74929806823441,1638,5.22861213175248e-18
"ReactDrv_StopSlow","ConflSev_Mild","Phi",0.117965373478974,0.0699605191176337,0.16542512161604,4.80788977027311,1638,1.6651106101833e-06
"ReactDrv_StopSlow","ConflSev_High","Phi",0.126205214085806,0.0782790801387842,0.173549353460427,5.1489746693556,1638,2.93554170916453e-07
"ReactDrv_StopSlow","WeathCle","Phi",-0.0509914731078058,-0.0991510789815595,-0.00259354313600755,-2.06642598199399,1638,0.0389451422127696
"ReactDrv_StopSlow","WeathRai","Phi",0.0509914731078058,0.00259354313600754,0.0991510789815595,2.06642598199399,1638,0.0389451422127696
"ReactDrv_StopSlow","WeathSno","Phi",NA,NA,NA,NA,1638,NA
"ReactDrv_StopSlow","PRCP","Point-Biserial",-0.000541853256370432,-0.0489449009034618,0.0478637334918994,-0.0219300034578076,1638,0.982506462241536
"ReactDrv_StopSlow","PRCP_01","Phi",-0.0277530136819448,-0.0760551751163078,0.020679097291869,-1.12365869356235,1638,0.261322498380559
"ReactDrv_StopSlow","TEMP","Point-Biserial",-0.00565086565530592,-0.0540404155525385,0.0427651631208191,-0.228706688274899,1638,0.819125445319001
"ReactDrv_StopSlow","TEMP_2050","Phi",-0.048648944806051,-0.0968252701338938,-0.00024519081005327,-1.97126453861406,1638,0.0488617196786042
"ReactDrv_StopSlow","TEMP_5065","Phi",0.146642970047144,0.0989409367677351,0.193672583423131,5.99982668318039,1638,2.42634176681943e-09
"ReactDrv_StopSlow","TEMP_6580","Phi",-0.0877970298857482,-0.135624988083357,-0.0395608223727628,-3.56711489237862,1638,0.000371316308076915
"ReactDrv_StopSlow","TEMP_8095","Phi",0.00895658619535127,-0.0394648546778303,0.0573360602354755,0.362507402014442,1638,0.717019659252284
"ReactDrv_StopSlow","Weekday_M_F","Phi",0.0802398317076643,0.0319596301095895,0.128146447994665,3.25798863831698,1638,0.00114502166795559
"ReactDrv_StopSlow","Weekday_TWH","Phi",-0.0802398317076643,-0.128146447994665,-0.0319596301095895,-3.25798863831698,1638,0.00114502166795559
"ReactDrv_StopSlow","Weekend","Phi",NA,NA,NA,NA,1638,NA
"ReactDrv_StopSlow","TOD2_0611","Phi",0.00589834757214835,-0.0425181229649375,0.0542871796560865,0.238723330146356,1638,0.81134998707586
